Date Published,Lat,Lon,Street,Size,Price Per SQMT
2023-10-30/2023-11-05,41.6530496,44.7553301,ვახტანგ გორგასლის ქუჩა,48,0.0004356019483204018
2023-10-30/2023-11-05,41.657316,44.872239390029385,კრწანისის რაიონი,15,0.0007297798261309733
2023-10-30/2023-11-05,41.6613435,44.7134386,იუნკერთა ქუჩა,1,0.00038099156926139633
2023-10-30/2023-11-05,41.6668639,44.8891798,ქინძმარაულის I შესახვევი,7,0.0003204329593272974
2023-10-30/2023-11-05,41.6669144,44.8973184,ნაკადულის ქუჩა,2,0.0003297037541793247
2023-10-30/2023-11-05,41.6671043,44.8930646,ოცხელის ქუჩა,8,0.00031749297438449697
2023-10-30/2023-11-05,41.66818275,44.85258474812308,ორთაჭალის სასაფლაო,5,0.0003584590928693286
2023-10-30/2023-11-05,41.6696516,44.9135732,Gumathesi Street,1,0.0002503305105832005
2023-10-30/2023-11-05,41.6721906,44.8773537,ბერი გაბრიელ სალოსის გამზირი,42,0.0003438734656261048
2023-10-30/2023-11-05,41.6732122,44.87276813300214,,2,0.00024890179219847023
2023-10-30/2023-11-05,41.6735884,44.8523018,შ. ნადირაშვილის ქუჩა,37,0.00035398561686025105
2023-10-30/2023-11-05,41.6754651,44.8773492,მოსკოვის გამზირი,69,0.0003115018819578615
2023-10-30/2023-11-05,41.675465700000004,44.829620476266534,დიმიტრი გულუას მოედანი,3,0.0005215965078973146
2023-10-30/2023-11-05,41.6760312,44.8189321,კრწანისის I გასასვლელი,1,0.0008989273831640578
2023-10-30/2023-11-05,41.6760677,44.8350528,დიმიტრი გულიას ქუჩა,9,0.0004123281258331462
2023-10-30/2023-11-05,41.67659915,44.85307476129846,მაიორ შალვა დოლიძის სახელობის სკვერი,12,0.0005937436113964478
2023-10-30/2023-11-05,41.67671025,44.91284284491345,,1,0.00022436276020829245
2023-10-30/2023-11-05,41.6770168,44.8388703,რიჩარდ ჰოლბრუკის ქუჩა,14,0.0005291560156174095
2023-10-30/2023-11-05,41.6770823,44.7794082,ტ. ტაბიძის 1-ლი შესახვევი,3,0.0006349859487689939
2023-10-30/2023-11-05,41.6772915,44.8826722,გრიგოლ ლორთქიფანიძის ქუჩა,1,0.00038099156926139633
2023-10-30/2023-11-05,41.6775804,44.8498954,დოდაშვილის ქუჩა,12,0.00034959786395425725
2023-10-30/2023-11-05,41.68173135,44.82019138848683,,11,0.0003594274464412013
2023-10-30/2023-11-05,41.6820281,44.82412553155259,ჟანი კალანდაძის პარკი,12,0.0003725827678348229
2023-10-30/2023-11-05,41.6820446,44.7681777,კოჯრის გზატკეცილი,2,0.0008867245406935896
2023-10-30/2023-11-05,41.6823956,44.8400103,ნავთლუღის ქუჩა,39,0.0004927490962447393
